Quote,Author,Tags,Processed_Text
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",world created process thinking changed without changing thinking
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",choice harry show truly far ability
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",two way live life one though nothing miracle though everything miracle
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",person gentleman lady pleasure good novel must intolerably stupid
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",imperfection beauty madness genius better absolutely ridiculous absolutely boring
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",try become man success rather become man value
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",better hated loved
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",failed ive found 10000 way wont work
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,woman like tea bag never know strong hot water
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",day without sunshine like know night
